Document,Primary title,Secondary title,Classification,Author,Compiler,Translator,Publisher,Variety,ISO,Year,Country,State,Region,Community,Notes,Number,URL,Language
Romanos_2_mpm.txt,Nuevo Testamento,,Religious,,,,,,mpm,,,,,,,,,MX
Romanos_2_mks.txt,Nuevo Testamento,,Religious,,,,,,mks,,,,,,,,,MX
Romanos_2_mjc.txt,Nuevo Testamento,,Religious,,,,,,mjc,,,,,,,,,MX
Romanos_2_miy.txt,Nuevo Testamento,,Religious,,,,,,miy,,,,,,,,,MX
Romanos_2_mit.txt,Nuevo Testamento,,Religious,,,,,,mit,,,,,,,,,MX
Romanos_2_mih.txt,Nuevo Testamento,,Religious,,,,,,mih,,,,,,,,,MX
Romanos_2_mie.txt,Nuevo Testamento,,Religious,,,,,,mie,,,,,,,,,MX
Romanos_2_IJSUD.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_2_esp_rva.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_2_esp_a.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_3_xtm.txt,Nuevo Testamento,,Religious,,,,,,xtm,,,,,,,,,MX
Romanos_3_mza.txt,Nuevo Testamento,,Religious,,,,,,mza,,,,,,,,,MX
Romanos_3_mxv.txt,Nuevo Testamento,,Religious,,,,,,mxv,,,,,,,,,MX
Romanos_3_mpm.txt,Nuevo Testamento,,Religious,,,,,,mpm,,,,,,,,,MX
Romanos_3_mks.txt,Nuevo Testamento,,Religious,,,,,,mks,,,,,,,,,MX
Romanos_3_mjc.txt,Nuevo Testamento,,Religious,,,,,,mjc,,,,,,,,,MX
Romanos_3_miy.txt,Nuevo Testamento,,Religious,,,,,,miy,,,,,,,,,MX
Romanos_3_mit.txt,Nuevo Testamento,,Religious,,,,,,mit,,,,,,,,,MX
Romanos_3_mio.txt,Nuevo Testamento,,Religious,,,,,,mio,,,,,,,,,MX
Romanos_3_mih.txt,Nuevo Testamento,,Religious,,,,,,mih,,,,,,,,,MX
Romanos_3_mie.txt,Nuevo Testamento,,Religious,,,,,,mie,,,,,,,,,MX
Romanos_3_IJSUD.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_3_esp_rva.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_3_esp_a.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_4_xtm.txt,Nuevo Testamento,,Religious,,,,,,xtm,,,,,,,,,MX
Romanos_4_mza.txt,Nuevo Testamento,,Religious,,,,,,mza,,,,,,,,,MX
Romanos_4_mxv.txt,Nuevo Testamento,,Religious,,,,,,mxv,,,,,,,,,MX
Romanos_4_mpm.txt,Nuevo Testamento,,Religious,,,,,,mpm,,,,,,,,,MX
Romanos_4_mks.txt,Nuevo Testamento,,Religious,,,,,,mks,,,,,,,,,MX
Romanos_4_mjc.txt,Nuevo Testamento,,Religious,,,,,,mjc,,,,,,,,,MX
Romanos_4_miy.txt,Nuevo Testamento,,Religious,,,,,,miy,,,,,,,,,MX
Romanos_4_mit.txt,Nuevo Testamento,,Religious,,,,,,mit,,,,,,,,,MX
Romanos_4_mio.txt,Nuevo Testamento,,Religious,,,,,,mio,,,,,,,,,MX
Romanos_4_mih.txt,Nuevo Testamento,,Religious,,,,,,mih,,,,,,,,,MX
Romanos_4_mie.txt,Nuevo Testamento,,Religious,,,,,,mie,,,,,,,,,MX
Romanos_4_IJSUD.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_4_esp_rva.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_4_esp_a.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Lucas_23_xtm.txt,Nuevo Testamento,Lucas,Religious,,,,Wycliffe Bible Translators,Mixteco de Magdalena Peñasco,xtm,2017,México,Guerrero,Magdalena Peñasco,,,23.0,,MX
Lucas_23_mza.txt,Nuevo Testamento,Lucas,Religious,,,,Wycliffe Bible Translators,Mixteco de Santa María Zacatepec,mza,2015,México,Oaxaca,Santa María Zacatepec,,,23.0,,MX
Lucas_23_mxv.txt,Nuevo Testamento,Lucas,Religious,,,,Wycliffe Bible Translators,Mixteco de Metlatónoc y Cochoapa,mxv,2017,México,Guerrero,Metlatónoc,,,23.0,,MX
Lucas_23_mpm.txt,Nuevo Testamento,Lucas,Religious,,,,Wycliffe Bible Translators,Mixteco de Yosondúa,mpm,1988,México,Oaxaca,Santiago Yosondúa,,,23.0,,MX
Lucas_23_mks.txt,Nuevo Testamento,Lucas,Religious,,,,Wycliffe Bible Translators,Mixteco de Silacayoapan,mks,2009,México,Oaxaca,,,,23.0,,MX
Lucas_23_mjc.txt,Nuevo Testamento,Lucas,Religious,,,,Wycliffe Bible Translators,Mixteco de San Juan Colorado,mjc,1994,México,Oaxaca,San Juan Colorado,,,23.0,,MX
Lucas_23_miy.txt,Nuevo Testamento,Lucas,Religious,,,,Wycliffe Bible Translators,Mixteco de Ayutla de los Libres,miy,2016,México,Guerrero,Ayutla de los Libres,,,23.0,,MX
Lucas_23_mit.txt,Nuevo Testamento,Lucas,Religious,,,,Wycliffe Bible Translators,Mixteco del sur de Puebla,mit,1978,México,Puebla,,,,23.0,,MX
Lucas_23_mio.txt,Nuevo Testamento,Lucas,Religious,,,,Wycliffe Bible Translators,Mixteco de Pinotepa Nacional,mio,1980,México,Oaxaca,Santiago Pinotepa Nacional,,,23.0,,MX
Lucas_23_mih.txt,Nuevo Testamento,Lucas,Religious,,,,Wycliffe Bible Translators,Mixteco de Chayuco,mih,1979,México,Oaxaca,San Agustín Chayuco,,,23.0,,MX
Lucas_23_mie.txt,Nuevo Testamento,Lucas,Religious,,,,Wycliffe Bible Translators,Mixteco de Sto. Tomás Ocotepec,mie,1977,México,Oaxaca,Santo Tomás Ocotepec,,,23.0,,MX
Lucas_23_IJSUD.txt,Nuevo Testamento,Lucas,Religious,,,,La Iglesia de Jesucristo de los Santos de los Últimos Días,,spa,2013,,,,,,23.0,,ES
Lucas_23_esp_rva.txt,Nuevo Testamento,Lucas,Religious,,,,Editorial Mundo Hispano,Reina Valera Actualizada,spa,2015,,,,,,23.0,,ES
Lucas_23_esp_a.txt,Nuevo Testamento,Lucas,Religious,,,,The Lockman Foundation,Biblia de las Américas,spa,"1986, 1995, 1997",,,,,,23.0,,ES
Lucas_24_xtm.txt,Nuevo Testamento,Lucas,Religious,,,,Wycliffe Bible Translators,Mixteco de Magdalena Peñasco,xtm,2013,México,Oaxaca,Magdalena Peñasco,,,24.0,,MX
Lucas_24_mza.txt,Nuevo Testamento,Lucas,Religious,,,,Wycliffe Bible Translators,Mixteco de Santa María Zacatepec,mza,2015,México,Oaxaca,Santa María Zacatepec,,,24.0,,MX
Lucas_24_mxv.txt,Nuevo Testamento,Lucas,Religious,,,,Wycliffe Bible Translators,Mixteco de Metlatónoc y Cochoapa,mxv,2017,México,Guerrero,Metlatónoc,,,24.0,,MX
Lucas_24_mpm.txt,Nuevo Testamento,Lucas,Religious,,,,Wycliffe Bible Translators,Mixteco de Yosondúa,mpm,1988,México,Oaxaca,Santiago Yosondúa,,,24.0,,MX
Lucas_24_mks.txt,Nuevo Testamento,Lucas,Religious,,,,Wycliffe Bible Translators,Mixteco de Silacayoapan,mks,2009,México,Oaxaca,,,,24.0,,MX
Lucas_24_mjc.txt,Nuevo Testamento,Lucas,Religious,,,,Wycliffe Bible Translators,Mixteco de San Juan Colorado,mjc,1994,México,Oaxaca,San Juan Colorado,,,24.0,,MX
Lucas_24_miy.txt,Nuevo Testamento,Lucas,Religious,,,,Wycliffe Bible Translators,Mixteco de Ayutla de los Libres,miy,2016,México,Guerrero,Ayutla de los Libres,,,24.0,,MX
Lucas_24_mit.txt,Nuevo Testamento,Lucas,Religious,,,,Wycliffe Bible Translators,Mixteco del sur de Puebla,mit,1978,México,Puebla,,,,24.0,,MX
Lucas_24_mio.txt,Nuevo Testamento,Lucas,Religious,,,,Wycliffe Bible Translators,Mixteco de Pinotepa Nacional,mio,1980,México,Oaxaca,Santiago Pinotepa Nacional,,,24.0,,MX
Lucas_24_mih.txt,Nuevo Testamento,Lucas,Religious,,,,Wycliffe Bible Translators,Mixteco de Chayuco,mih,1979,México,Oaxaca,San Agustín Chayuco,,,24.0,,MX
Lucas_24_mie.txt,Nuevo Testamento,Lucas,Religious,,,,Wycliffe Bible Translators,Mixteco de Sto. Tomás Ocotepec,mie,1977,México,Oaxaca,Santo Tomás Ocotepec,,,24.0,,MX
Lucas_24_IJSUD.txt,Nuevo Testamento,Lucas,Religious,,,,La Iglesia de Jesucristo de los Santos de los Últimos Días,,spa,2013,,,,,,24.0,,ES
Lucas_24_esp_rva.txt,Nuevo Testamento,Lucas,Religious,,,,Editorial Mundo Hispano,Reina Valera Actualizada,spa,2015,,,,,,24.0,,ES
Lucas_24_esp_a.txt,Nuevo Testamento,Lucas,Religious,,,,The Lockman Foundation,Biblia de las Américas,spa,"1986, 1995, 1997",,,,,,24.0,,ES
Romanos_5_xtm.txt,Nuevo Testamento,,Religious,,,,,,xtm,,,,,,,,,MX
Romanos_5_mza.txt,Nuevo Testamento,,Religious,,,,,,mza,,,,,,,,,MX
Romanos_5_mxv.txt,Nuevo Testamento,,Religious,,,,,,mxv,,,,,,,,,MX
Romanos_5_mpm.txt,Nuevo Testamento,,Religious,,,,,,mpm,,,,,,,,,MX
Romanos_5_mks.txt,Nuevo Testamento,,Religious,,,,,,mks,,,,,,,,,MX
Romanos_5_mjc.txt,Nuevo Testamento,,Religious,,,,,,mjc,,,,,,,,,MX
Romanos_5_miy.txt,Nuevo Testamento,,Religious,,,,,,miy,,,,,,,,,MX
Romanos_5_mit.txt,Nuevo Testamento,,Religious,,,,,,mit,,,,,,,,,MX
Romanos_5_mio.txt,Nuevo Testamento,,Religious,,,,,,mio,,,,,,,,,MX
Romanos_5_mih.txt,Nuevo Testamento,,Religious,,,,,,mih,,,,,,,,,MX
Romanos_5_mie.txt,Nuevo Testamento,,Religious,,,,,,mie,,,,,,,,,MX
Romanos_5_IJSUD.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_5_esp_rva.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_5_esp_a.txt,Nuevo Testamento,,Religious,,,,,,,,,,,,,,,ES
Romanos_6_xtm.txt,Nuevo Testamento,,Religious,,,,,,xtm,,,,,,,,,MX
Romanos_6_mza.txt,Nuevo Testamento,,Religious,,,,,,mza,,,,,,,,,MX
Romanos_6_mxv.txt,Nuevo Testamento,,Religious,,,,,,mxv,,,,,,,,,MX
Romanos_6_mpm.txt,Nuevo Testamento,,Religious,,,,,,mpm,,,,,,,,,MX
Romanos_6_mks.txt,Nuevo Testamento,,Religious,,,,,,mks,,,,,,,,,MX
Romanos_6_mjc.txt,Nuevo Testamento,,Religious,,,,,,mjc,,,,,,,,,MX
Romanos_6_miy.txt,Nuevo Testamento,,Religious,,,,,,miy,,,,,,,,,MX
Romanos_6_mit.txt,Nuevo Testamento,,Religious,,,,,,mit,,,,,,,,,MX
Romanos_6_mio.txt,Nuevo Testamento,,Religious,,,,,,mio,,,,,,,,,MX
Romanos_6_mih.txt,Nuevo Testamento,,Religious,,,,,,mih,,,,,,,,,MX
